,index,tempo_prefci,alternativas_prefci,tempo_posfci,alternativas_posfci,tempo_quest1,nota_quest1,tempo_quest2,nota_quest2,tempo_quest3,nota_quest3,tempo_quest4,nota_quest4
157,157,1980,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",1740.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]","[180, 120, 60, 60, 60]","[7.5, 10.0, 10.0, 10.0, 10.0]","[180, 420, 60]","[10.0, 10.0, 10.0]","[960.0, 1260.0, 7980.0, 104700.0, 659.9999996]","[7.5, 7.5, 7.5, 10.0, 10.0]","[1680, 1140, 60, 780, 60]","[8.3, 9.7, 1.7, 9.7, 0.7]"
158,158,6217920,"[2, 2, 3, 5, 1, 2, 2, 2, 1, 1, 2, 2, 2, 4, 3, 3, 2, 2, 1, 1, 2, 2, 3, 2, 2, 1, 3, 5, 1, 3]",,,,,,,,,,
159,159,6660,"[1, 2, 1, 1, 2, 3, 2, 4, 3, 5, 1, 3, 3, 1, 1, 1, 4, 1, 5, 3, 2, 4, 4, 5, 2, 4, 3, 5, 5, 4]",1740.0,"[4, 4, 3, 5, 3, 2, 1, 5, 1, 1, 3, 2, 3, 1, 1, 1, 2, 4, 4, 4, 3, 4, 4, 4, 1, 4, 2, 5, 2, 4]","[600, 360, 120, 60, 660]","[5.0, 7.5, 5.0, 7.5, 10.0]","[420, 300, 51240, 420, 660, 1140, 120, 60]","[2.5, 0.0, 5.0, 5.0, 7.5, 2.5, 5.0, 10.0]","[1200.0, 250080.0, 13560.0, 780.0, 1440.0, 479.99999969999993, 180.0, 1140.0, 359.9999999, 119.99999979999998, 119.99999979999998, 180.0, 60.000000199999995, 180.0, 120.00000039999999]","[5.0, 5.0, 2.5, 2.5, 7.5, 5.0, 5.0, 5.0, 5.0, 2.5, 7.5, 5.0, 5.0, 7.5, 10.0]","[1440, 1080, 1500, 1380, 1320, 1740, 1320, 1560, 2160, 8940, 1140, 1920, 1920, 2040, 1860]","[6.0, 6.7, 6.7, 8.0, 8.0, 8.7, 7.3, 8.3, 8.0, 8.7, 7.3, 8.7, 8.7, 8.0, 9.3]"
160,160,2280,"[3, 4, 1, 1, 3, 2, 2, 1, 3, 4, 2, 2, 2, 2, 3, 3, 1, 4, 4, 3, 5, 5, 2, 1, 5, 1, 3, 4, 2, 5]",,,,,,,,,,
161,161,3960,"[3, 1, 3, 5, 5, 2, 2, 2, 3, 1, 4, 2, 4, 4, 2, 1, 1, 2, 4, 4, 5, 4, 1, 1, 4, 2, 2, 5, 2, 3]",,,,,,,,,,
162,162,1680,"[4, 1, 3, 5, 2, 1, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 1, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",1260.0,"[5, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",[240],[9.5],"[2700, 180, 120]","[7.5, 7.5, 10.0]","[2640.0, 1860.0, 1140.0, 1620.0, 1740.0, 299.9999997]","[2.5, 5.0, 5.0, 7.5, 5.0, 7.5]",[2220],[9.0]
163,163,6000,"[3, 5, 3, 5, 3, 1, 1, 2, 5, 4, 2, 3, 2, 2, 1, 5, 2, 4, 3, 1, 3, 4, 2, 1, 2, 4, 1, 5, 4, 2]",,,,,,,,,,
164,164,1080,"[4, 4, 2, 5, 2, 2, 2, 1, 3, 1, 4, 2, 1, 1, 1, 1, 1, 4, 4, 5, 2, 1, 5, 2, 4, 1, 1, 4, 2, 3]",,,,,,,,,,
165,165,1740,"[3, 1, 3, 5, 4, 2, 2, 1, 2, 1, 5, 2, 2, 2, 1, 2, 1, 5, 2, 5, 2, 1, 4, 3, 4, 1, 2, 4, 2, 2]",,,,,,,,,,
166,166,2700,"[4, 4, 5, 1, 5, 2, 1, 5, 5, 4, 3, 4, 2, 2, 2, 3, 1, 5, 1, 5, 2, 2, 4, 2, 3, 3, 2, 3, 2, 3]",3660.0,"[3, 1, 3, 5, 4, 1, 3, 3, 5, 2, 3, 2, 3, 5, 1, 3, 2, 4, 1, 4, 2, 2, 4, 2, 4, 2, 4, 5, 2, 2]","[1500, 2340, 2520, 3120, 1920]","[5.0, 4.5, 5.0, 4.5, 7.5]","[960, 1860]","[5.0, 2.5]","[5340.0, 4440.0, 3240.0, 2580.0]","[0.0, 0.0, 5.0, 7.5]","[4200, 6720, 6540]","[7.3, 6.3, 5.3]"
