,index,tempo_prefci,alternativas_prefci,tempo_posfci,alternativas_posfci,tempo_quest1,nota_quest1,tempo_quest2,nota_quest2,tempo_quest3,nota_quest3,tempo_quest4,nota_quest4
72,72,26940,"[2, 4, 2, 5, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 3, 3, 1, 3, 4, 3, 2, 1, 4, 3, 4, 1, 3, 4, 4, 5]",2160.0,"[3, 1, 2, 5, 4, 1, 1, 2, 5, 4, 4, 2, 2, 1, 3, 3, 1, 4, 4, 3, 3, 3, 4, 3, 5, 2, 3, 4, 2, 3]","[660, 1140, 120, 240, 180960]","[7.5, 5.0, 5.0, 7.5, 10.0]","[360, 780]","[5.0, 10.0]","[2220.0, 517920.0, 351960.0, 2820.0, 360.0]","[2.5, 0.0, 2.5, 7.5, 7.5]",,
73,73,3000,"[3, 1, 3, 5, 1, 2, 2, 4, 5, 1, 2, 2, 4, 2, 1, 1, 1, 3, 1, 5, 2, 2, 3, 1, 4, 2, 4, 5, 2, 1]",262740.0,"[3, 1, 3, 5, 1, 2, 2, 2, 4, 1, 1, 2, 4, 4, 1, 1, 2, 2, 5, 1, 4, 2, 2, 1, 3, 5, 2, 5, 2, 3]","[480, 420, 180]","[2.5, 2.0, 10.0]",[1380],[10.0],"[2820.0, 4620.0]","[5.0, 10.0]","[3720, 2340, 3960, 1440, 2880, 2100, 1800, 1560, 1080, 2100, 1860, 2940]","[7.3, 8.7, 6.0, 9.3, 7.3, 8.3, 8.7, 6.7, 9.3, 8.0, 9.3, 10.0]"
74,74,3045840,"[3, 1, 3, 5, 2, 2, 2, 5, 3, 5, 1, 3, 4, 1, 1, 1, 2, 2, 3, 3, 2, 4, 4, 1, 4, 4, 1, 5, 2, 3]",,,,,,,,,,
75,75,1680,"[3, 1, 1, 5, 2, 2, 2, 2, 5, 3, 1, 2, 4, 4, 3, 1, 2, 2, 5, 3, 2, 2, 3, 1, 3, 2, 3, 5, 1, 3]",,,,,,,,,,
76,76,3420,"[3, 4, 1, 5, 1, 2, 1, 1, 2, 4, 3, 3, 3, 4, 2, 3, 4, 3, 5, 5, 2, 4, 3, 1, 5, 2, 3, 5, 4, 5]",1500.0,"[4, 4, 1, 5, 1, 2, 2, 1, 5, 1, 3, 3, 1, 1, 1, 3, 1, 3, 5, 3, 5, 4, 3, 1, 5, 2, 1, 5, 5, 1]","[240, 300, 360]","[5.0, 7.0, 10.0]","[420, 1320, 180, 60, 60, 60, 60]","[2.5, 5.0, 5.0, 5.0, 7.5, 7.5, 10.0]","[1800.0, 1068960.0, 1200.0, 480.0, 600.0, 300.0, 240.0, 600.0, 180.0, 120.0, 60.0, 60.0, 300.0, 60.0, 420.0, 60.0, 120.0, 300.0, 180.0, 60.0]","[2.5, 7.5, 0.0, 7.5, 7.5, 7.5, 5.0, 5.0, 5.0, 5.0, 7.5, 10.0, 7.5, 5.0, 5.0, 7.5, 5.0, 7.5, 5.0, 10.0]","[2040, 3060, 1500, 1260, 1380, 960, 1140, 1380, 1140, 840]","[6.3, 7.0, 8.0, 7.3, 9.3, 8.0, 8.0, 8.0, 9.3, 10.0]"
77,77,2040,"[3, 2, 3, 1, 2, 2, 2, 2, 5, 1, 1, 2, 3, 4, 3, 1, 1, 4, 1, 4, 2, 4, 3, 3, 4, 5, 3, 3, 2, 5]",,,,,,,,,,
78,78,704100,"[3, 4, 3, 1, 3, 2, 2, 2, 3, 1, 2, 2, 2, 4, 2, 3, 2, 3, 5, 4, 2, 4, 1, 3, 5, 1, 3, 4, 2, 5]",,,,,,,,,,
79,79,1440,"[3, 4, 3, 5, 2, 2, 2, 5, 5, 3, 3, 3, 3, 4, 1, 3, 1, 4, 5, 4, 5, 2, 4, 1, 3, 5, 1, 5, 4, 3]",,,,,,,,,,
80,80,603840,"[3, 1, 3, 5, 4, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 4, 4, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 4, 3]",,,,,,,,,,
81,81,2940,"[3, 1, 3, 1, 3, 2, 5, 2, 5, 1, 3, 2, 3, 4, 3, 1, 1, 5, 1, 4, 5, 2, 2, 1, 4, 2, 3, 4, 2, 5]",,,,,,,,,,
82,82,2460,"[3, 1, 3, 1, 3, 2, 2, 2, 2, 1, 2, 2, 3, 1, 3, 3, 1, 4, 4, 5, 1, 1, 3, 3, 4, 2, 1, 4, 4, 5]",520500.0,"[3, 5, 3, 1, 5, 1, 2, 2, 5, 3, 3, 2, 3, 4, 3, 3, 1, 5, 5, 3, 5, 2, 3, 1, 4, 2, 1, 4, 4, 5]","[420, 240, 1680, 240, 240, 240, 240, 240, 60]","[2.5, 7.5, 7.5, 7.5, 5.0, 5.0, 7.5, 7.5, 10.0]",[1140],[10.0],"[6840.0, 518760.0, 1020.0, 600.0, 660.0]","[5.0, 2.5, 0.0, 2.5, 10.0]",,
83,83,300,"[3, 1, 1, 5, 1, 3, 3, 3, 2, 1, 4, 2, 5, 2, 4, 2, 5, 2, 3, 4, 3, 4, 1, 2, 1, 1, 1, 3, 3, 5]",,,,,,,,,,
84,84,82680,"[4, 1, 3, 1, 2, 2, 2, 1, 2, 5, 3, 2, 2, 1, 3, 1, 1, 3, 5, 1, 2, 2, 1, 1, 5, 1, 3, 4, 2, 5]",,,,,,,,,,
85,85,3840,"[3, 2, 3, 5, 4, 2, 2, 2, 4, 2, 3, 2, 3, 4, 1, 1, 1, 4, 2, 3, 2, 1, 3, 1, 4, 1, 2, 5, 5, 5]",4020.0,"[3, 4, 3, 5, 5, 2, 2, 1, 5, 1, 3, 2, 3, 4, 2, 1, 4, 4, 1, 3, 3, 1, 3, 1, 4, 1, 3, 5, 2, 5]","[780, 780, 360, 840]","[7.5, 7.5, 10.0, 10.0]","[1380, 840, 7500]","[5.0, 5.0, 10.0]","[429900.0, 6360.0, 35820.0, 16980.0, 5880.0, 61380.0, 10080.0]","[2.5, 2.5, 7.5, 7.5, 5.0, 5.0, 10.0]",[4200],[8.3]
86,86,35220,"[5, 4, 2, 5, 3, 2, 2, 4, 4, 4, 4, 5, 3, 2, 3, 3, 4, 3, 3, 3, 3, 1, 4, 2, 5, 1, 1, 4, 1, 4]",,,,,,,,,,
87,87,3420,"[3, 1, 3, 1, 5, 2, 2, 1, 2, 1, 1, 2, 4, 4, 1, 1, 1, 4, 5, 5, 4, 2, 2, 1, 4, 1, 3, 4, 4, 3]",,,,,,,,,,
88,88,5880,"[3, 4, 1, 4, 3, 1, 2, 1, 2, 5, 2, 3, 3, 4, 3, 1, 1, 4, 1, 5, 2, 4, 4, 1, 4, 4, 2, 5, 2, 5]",61080.0,"[3, 1, 1, 5, 4, 2, 2, 1, 2, 5, 3, 4, 2, 3, 1, 1, 1, 4, 2, 2, 2, 4, 2, 1, 4, 2, 2, 5, 2, 5]",[780],[7.5],"[300, 180, 360, 60]","[5.0, 2.5, 2.5, 7.5]","[720.0, 300.0, 120.0, 120.0, 60.0, 120.0, 60.0, 60.0, 120.0, 0.0]","[2.5, 5.0, 2.5, 2.5, 5.0, 5.0, 5.0, 5.0, 2.5, 7.5]",[30480],[8.7]
89,89,2940,"[3, 1, 3, 5, 2, 2, 2, 2, 1, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 3, 2, 2, 1, 3, 5, 3, 5, 2, 3]",,,,,,,,,,
90,90,1200,"[3, 2, 3, 5, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 4, 5, 1, 2, 4, 3, 1, 4, 1, 3, 3, 2, 2]",,,,,,,,,,
91,91,3960,"[4, 1, 5, 1, 4, 2, 2, 1, 3, 5, 2, 3, 3, 4, 4, 3, 1, 3, 2, 5, 1, 5, 4, 3, 2, 2, 1, 4, 1, 5]",,,,,,,,,,
92,92,4260,"[1, 2, 3, 1, 4, 1, 2, 1, 1, 5, 3, 2, 3, 1, 3, 1, 1, 5, 4, 2, 4, 4, 5, 5, 5, 4, 3, 4, 2, 5]",,,,,,,,,,
93,93,1320,"[3, 1, 3, 5, 5, 2, 2, 4, 5, 1, 4, 2, 4, 4, 3, 1, 2, 3, 5, 4, 5, 4, 1, 1, 4, 2, 3, 4, 2, 3]",2820.0,"[3, 1, 3, 5, 2, 2, 2, 4, 1, 2, 3, 2, 4, 4, 1, 1, 1, 2, 5, 4, 5, 4, 4, 1, 3, 4, 3, 5, 2, 1]","[240, 300]","[7.5, 10.0]",[180],[10.0],[780.0],[10.0],"[900, 540, 900, 720]","[7.8, 8.7, 7.3, 10.0]"
94,94,3000,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 1, 5, 2, 4, 5, 3, 5, 3, 5, 4, 3]",,,"[240, 120, 120]","[7.5, 7.0, 10.0]",[600],[10.0],[840.0],[7.5],,
95,95,1140,"[3, 1, 1, 5, 3, 1, 2, 1, 2, 5, 4, 2, 3, 4, 3, 1, 1, 4, 4, 5, 5, 4, 4, 1, 4, 1, 1, 4, 2, 5]",,,,,,,,,,
96,96,128400,"[3, 1, 2, 5, 3, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 1, 3, 3, 4, 5, 2, 2, 1, 4, 5, 3, 5, 5, 3]",,,[480],[7.5],[300],[7.5],,,,
97,97,2280,"[3, 1, 1, 4, 5, 1, 2, 1, 3, 4, 3, 3, 1, 2, 1, 3, 1, 5, 5, 3, 5, 4, 1, 1, 5, 4, 1, 5, 4, 5]",,,,,,,,,,
98,98,1320,"[3, 1, 2, 5, 4, 1, 1, 4, 5, 2, 3, 2, 1, 4, 1, 1, 0, 5, 4, 2, 5, 2, 5, 4, 4, 2, 3, 2, 2, 5]",,,,,,,,,,
99,99,333480,"[4, 1, 3, 5, 5, 2, 2, 1, 2, 4, 2, 2, 2, 2, 1, 1, 1, 5, 2, 4, 1, 4, 3, 1, 3, 1, 1, 5, 4, 5]",,,,,,,,,,
100,100,1320,"[5, 1, 2, 5, 4, 2, 1, 1, 5, 4, 1, 2, 4, 1, 3, 1, 2, 3, 5, 4, 5, 5, 4, 3, 3, 2, 2, 5, 2, 3]",1020.0,"[2, 1, 2, 5, 2, 2, 2, 1, 5, 1, 4, 2, 4, 1, 1, 1, 2, 2, 5, 4, 5, 2, 2, 2, 3, 5, 3, 5, 2, 3]","[240, 60, 60, 60, 180, 60]","[7.5, 9.5, 7.5, 10.0, 7.5, 10.0]",[180],[10.0],"[600.0, 300.0, 540.0, 120.0, 240.0, 540.0, 300.0, 420.0, 420.0, 180.0, 60.0]","[7.5, 5.0, 5.0, 5.0, 2.5, 7.5, 7.5, 5.0, 7.5, 7.5, 10.0]","[600, 600]","[7.3, 7.0]"
101,101,2340,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 1, 5, 2, 2, 1, 3, 4, 3, 5, 2, 3]",2520.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",[1080],[9.5],[360],[10.0],"[2940.0, 1500.0, 1020.0]","[5.0, 7.5, 10.0]",[3540],[7.4]
102,102,1620,"[4, 1, 3, 5, 3, 1, 2, 2, 5, 5, 2, 3, 2, 1, 4, 3, 4, 4, 1, 2, 2, 4, 3, 3, 5, 2, 1, 4, 1, 2]",1320.0,"[3, 1, 1, 5, 4, 1, 2, 1, 2, 1, 3, 3, 1, 1, 3, 3, 4, 5, 1, 1, 2, 2, 3, 1, 5, 1, 1, 4, 4, 2]","[1920, 720]","[7.5, 10.0]","[3060, 840]","[7.5, 7.5]","[17640.0, 1140.0, 1440.0]","[5.0, 5.0, 5.0]","[2520, 4920]","[3.0, 7.7]"
103,103,8880,"[3, 2, 2, 5, 5, 2, 2, 2, 4, 1, 3, 2, 3, 4, 1, 5, 2, 4, 5, 4, 2, 2, 3, 1, 4, 5, 3, 5, 2, 5]",87300.0,"[3, 2, 2, 5, 2, 2, 2, 2, 3, 2, 4, 2, 4, 4, 1, 1, 1, 2, 5, 3, 2, 2, 3, 1, 3, 5, 1, 5, 2, 5]","[360, 420]","[7.5, 10.0]","[480, 83640]","[5.0, 10.0]","[1680.0, 1560.0]","[7.5, 10.0]",[9180],[8.3]
104,104,52680,"[4, 4, 3, 5, 4, 2, 2, 2, 3, 4, 3, 2, 3, 1, 3, 5, 1, 4, 5, 5, 3, 1, 2, 3, 3, 5, 3, 5, 2, 5]",,,,,,,,,,
105,105,1860,"[3, 1, 3, 1, 4, 2, 5, 5, 2, 1, 3, 3, 2, 1, 1, 1, 2, 5, 2, 1, 2, 4, 4, 1, 3, 4, 3, 4, 2, 5]",,,"[360, 180, 180]","[5.0, 4.5, 10.0]","[300, 780, 16500, 540]","[5.0, 7.5, 7.5, 10.0]",,,,
106,106,107400,"[3, 2, 1, 5, 5, 1, 2, 2, 3, 5, 4, 3, 3, 4, 1, 1, 2, 5, 3, 2, 4, 5, 3, 4, 2, 5, 2, 1, 2, 5]",,,,,,,,,,
107,107,3540,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 3, 4, 2, 2, 1, 3, 3, 3, 5, 4, 3]",,,,,,,,,,
108,108,1620,"[3, 4, 3, 5, 3, 5, 3, 2, 3, 3, 1, 2, 2, 1, 3, 4, 1, 5, 4, 2, 1, 5, 4, 1, 3, 2, 1, 4, 2, 5]",,,,,,,,,,
109,109,3480,"[3, 1, 1, 1, 5, 1, 5, 2, 5, 1, 1, 3, 3, 2, 3, 3, 1, 5, 4, 3, 2, 5, 3, 3, 3, 4, 3, 3, 2, 5]",,,,,,,,,,
110,110,2340,"[3, 4, 3, 5, 2, 2, 2, 2, 5, 1, 5, 2, 3, 4, 1, 5, 2, 2, 1, 5, 2, 2, 3, 3, 3, 2, 4, 5, 4, 3]",,,"[180, 240, 180, 180]","[7.5, 10.0, 7.5, 10.0]","[600, 300, 180, 840, 120]","[2.5, 7.5, 7.5, 5.0, 10.0]",,,,
